Date,Open,High,Low,Close,Volume
6.526786,6.658214,6.494286,6.658214,5.70852,789905200
6.693214,6.7125,6.5614289999999995,6.678928999999999,5.726282,743979600
6.67,6.721429,6.625,6.6675,5.716482,647186400
6.694642999999999,6.769286,6.692143,6.741071000000001,5.779559,610184400
6.735714,6.773214,6.590357000000001,6.6464289999999995,5.698417,679840000
6.673571000000001,6.721429,6.512143,6.620357,5.676064,750520400
6.572143,6.681786,6.543929,6.613929,5.670552,726983600
6.655,6.78,6.632142999999999,6.765357000000001,5.8003800000000005,755445600
6.714286,6.783929,6.626786,6.63,5.68433,966422800
6.5996429999999995,6.605,6.276786,6.486071,5.560931,1888392800
6.446786,6.670714,6.393571,6.63,5.68433,1140941200
6.583571000000001,6.642857000000001,6.413929,6.4575,5.536435,961550800
6.4817860000000005,6.521429,6.114286,6.187857,5.305254,1308333600
6.13,6.22,5.903929,6.156071,5.278001000000001,1345957200
6.117857,6.353571,6.038214,6.315714,5.414873,1051730400
6.360714,6.499643,6.336071,6.479643,5.55542,899656800
6.468571,6.507143,6.333929,6.383929,5.473357,811468000
6.376786,6.512143,6.314286,6.460714,5.539189,791949200
6.405357,6.464286,6.25,6.259643,5.366798,888367200
6.240714,6.281429,6.127143,6.184286,5.302193,645780800
6.156071,6.277857,6.129643,6.1875,5.304948,621947200
6.236071,6.386786,6.21,6.335357,5.431714,644450800
6.216786,6.244286,6.000357,6.009286,5.152151,869610000
5.946786,6.091786,5.8625,6.074643,5.208187000000001,1042249600
6.078214,6.142857,5.950714,5.98,5.1270430000000005,684196800
5.865357,6.24,5.857143,6.238571,5.348733999999999,1111280800
6.257143,6.3375,6.006429,6.006429,5.149703,837519200
6.056786,6.148929,5.919643,6.075714,5.209105,523362000
6.184286,6.326071,6.139286,6.255714,5.363430999999999,820391600
6.264286,6.417857,6.1692860000000005,6.4125,5.497855,888350400
6.435714,6.461071,6.219286,6.223214,5.335567,895776000
6.247143,6.333571,6.120357,6.3082139999999995,5.408442,840688800
6.266786,6.325357,6.107143,6.163571,5.284431,930011600
6.401429,6.403571,6.1814290000000005,6.21,5.324237999999999,886054400
6.16,6.205,5.9425,6.058571,5.194407,1040043200
6.078571,6.176071,6.021429,6.171786,5.291474,747790400
6.217857,6.249286,6.121071,6.136071,5.260854,757526000
6.018571,6.058929,5.892857,5.898214,5.056923,868414400
5.960714,5.982143,5.7542860000000005,5.938929,5.09183,1360469600
5.321429,5.812857,5.233214,5.786429,4.961082,1879592400
5.8925,6.013214,5.77,5.937857,5.090912,1061768400
5.868571,5.902143,5.658929,5.679643,4.869528,839619200
5.728571,5.821429,5.666071,5.79,4.964144999999999,633637200
5.797857,5.8025,5.500714,5.514286,4.7277569999999995,780712800
5.550357,5.694643,5.4875,5.61,4.809818,684070800
5.635,5.7317860000000005,5.574286,5.71,4.895555,725183200
5.626429,5.792857,5.606429,5.676786,4.867077,637498400
5.710714,5.713929,5.5625,5.595,4.796957,544639200
5.592857,5.639286,5.461071,5.4725,4.69193,592527600
5.550714,5.742857,5.529286,5.737143,4.918826,688371600
5.713214,5.978571,5.642857,5.863929,5.027528,791408800
5.811071,5.933929,5.767857,5.841786,5.008543,672372400
5.852143,6.058929,5.848214,6.055357,5.1916519999999995,713997200
6.073929,6.303571,6.059643,6.198571,5.314438,891304400
6.197143,6.403214,6.196786,6.311786,5.411507,836278800
6.356429,6.428571,6.282143,6.403571,5.4902,842346400
6.3689290000000005,6.444643,6.351429,6.404286,5.490811,711300800
6.394286,6.419643,6.251786,6.276429,5.381191,708251600
6.270357,6.350357,6.207857,6.263929,5.370472,552014400
6.2335709999999995,6.323929,6.136071,6.1975,5.313521,616204400
6.241786,6.319286,6.200357,6.28,5.384252,506951200
6.231071,6.266071,6.138929,6.224643,5.336792,539744800
6.279286,6.339286,6.270357,6.313929,5.413342,439611200
6.291071,6.293929,6.130714,6.1625,5.283513,484425200
6.17,6.2457139999999995,6.164643,6.201429,5.316889,445550000
6.189643,6.277143,6.149643,6.238214,5.348428,477780800
6.26,6.294643,6.169643,6.205,5.31995,431384800
6.177143,6.196429,6.037143,6.054643,5.191041,599289600
6.157143,6.196429,5.892857,5.935357,5.088768,780763200
5.958571,6.024286,5.857143,5.962857,5.112346,734834800
5.923571,5.996786,5.743214,5.757857,4.936586,743386000
5.663929,5.8,5.630357,5.720714,4.904739,786884000
5.8775,5.888929,5.409286,5.64,4.83554,1045979200
5.602143,5.712857,5.349643,5.417143,4.644469,1245025600
5.44,5.535357,5.314286,5.414643,4.642326000000001,973142800
5.292143,5.463929,5.214286,5.451786,4.674171,971135200
5.389643,5.389643,5.232143,5.319286,4.560569999999999,793027200
5.0725,5.274643,5.012857,5.012857,4.297848999999999,920634400
4.780714,5.089286,4.719643,4.9957139999999995,4.2831529999999995,1199836400
4.946071,4.946786,4.565357,4.565357,3.9141769999999996,1200455200
4.663214,4.836786,4.31,4.788929,4.105859,1676253600
5.092857,5.15,4.868214,5.0325,4.3146889999999996,1430875600
4.997857,5.008929,4.666429,4.680357,4.012773999999999,856713200
4.708929,4.85,4.523571,4.53,3.883863,1280364400
4.545357,4.676786,4.469643,4.596786,3.941125,1047015200
4.635714,4.813929,4.59,4.711786,4.039721,1006045600
4.461071,4.635714,4.392857,4.58,3.926732,1126451200
4.272143,4.274286,3.5925,3.759286,3.22308,2622057200
3.866071,4.107143,3.7964290000000003,4.059286,3.48029,1626682400
3.997143,4.012857,3.835357,3.8971430000000002,3.341274,1296484000
3.8575,3.885357,3.571429,3.575,3.065081,1609364400
3.714286,3.803571,3.380357,3.466786,2.972301,2294398400
3.2842860000000003,3.527857,3.126429,3.505,3.005065,2107417200
3.588571,3.625,3.176786,3.184286,2.730096,1878772000
3.0682139999999998,3.440357,3.06,3.206786,2.749386,2207741200
3.333929,3.4214290000000003,3.092857,3.169286,2.717236,1617383600
3.060714,3.571429,3.035714,3.457143,2.964033,2219299600
3.7339290000000003,3.9475,3.607857,3.937857,3.376181,1539076000
4.152143,4.157143,3.6835709999999997,3.717143,3.18695,1980994400
3.708571,3.821429,3.4960709999999997,3.498214,2.999247,1584175600
3.563214,3.6939290000000002,3.2764290000000003,3.638929,3.1198900000000003,1980521200
3.557143,3.644286,3.0675,3.478571,2.982406,1762227600
3.563571,3.5725,3.344286,3.515714,3.014251,1549170000
3.4625,3.496429,3.2557139999999998,3.2675,2.801441,2193660000
3.4775,3.616071,3.3189290000000002,3.4596430000000002,2.966177,2248808800
3.446786,3.544643,3.282143,3.5082139999999997,3.007821,1675430400
3.226071,3.496429,3.218214,3.442143,2.951174,1590058400
3.395357,3.486786,3.280714,3.288929,2.819814,1208771200
3.408214,3.589286,3.2989290000000002,3.5682139999999998,3.059263,1634133200
3.602143,3.912143,3.569286,3.7339290000000003,3.2013409999999998,1950978400
3.865357,4.006786,3.843214,3.9657139999999997,3.400065,1638089600
3.835714,3.956429,3.755,3.8425,3.294426,1659756000
3.783214,3.896429,3.745,3.82,3.275134,1057938000
3.928214,3.9925,3.809643,3.9639290000000003,3.3985339999999997,1398681200
3.889643,3.918571,3.678214,3.689286,3.163065,1256455200
3.6089290000000003,3.670714,3.5,3.539286,3.0344599999999997,1319074400
3.544286,3.566071,3.418571,3.508571,3.008126,1095253600
3.5775,3.585714,3.375,3.424286,2.935863,1123822000
3.386071,3.470357,3.295,3.384643,2.901875,1224538000
3.301071,3.33,3.214643,3.218571,2.75949,1178976400
3.2096430000000002,3.444286,3.072143,3.444286,2.953011,1854087200
3.3485709999999997,3.356786,3.214286,3.222857,2.7631650000000003,1405266800
3.16,3.2339290000000003,3.116429,3.147857,2.6988630000000002,1162526400
3.201429,3.249643,3.102143,3.211071,2.75306,1209695200
3.194286,3.270714,3.078929,3.081786,2.642216,1171900800
3.044286,3.0875,2.857143,2.874643,2.464619,1716814400
2.926071,3.004286,2.826429,2.949286,2.5286150000000003,1569271200
3.043214,3.385357,3.03,3.319643,2.846146,1442257600
3.379643,3.3825,3.148571,3.242857,2.780313,1235292800
3.211429,3.401786,3.208929,3.392857,2.908918,899836000
3.382143,3.384286,3.280714,3.309643,2.837573,297774400
3.260714,3.295357,3.175714,3.176071,2.723052,923767600
3.215357,3.308929,3.089286,3.3025,2.831448,1148722400
3.192857,3.436786,3.1714290000000003,3.425,2.936476,1338680000
3.3725,3.400357,3.180714,3.264643,2.798991,1091370000
3.226786,3.374643,3.173571,3.357143,2.8782970000000003,1043795200
3.474286,3.6,3.4214290000000003,3.561429,3.053445,1185142000
3.501429,3.7,3.4717860000000003,3.573571,3.0638549999999998,1203496000
3.495357,3.553214,3.446429,3.5075,3.0072080000000003,938047600
3.476786,3.615714,3.386786,3.392857,2.908918,1040617200
3.314286,3.535714,3.304643,3.509643,3.009045,1041174400
3.428214,3.436071,3.321429,3.383929,2.901263,891758000
3.356429,3.4457139999999997,3.3125,3.408214,2.922084,1093506400
3.251071,3.253571,3.143571,3.184286,2.730096,1293860400
3.1896430000000002,3.243929,3.158571,3.1939290000000002,2.738364,857416000
3.212143,3.2478569999999998,3.1714290000000003,3.214286,2.755816,801920000
3.215,3.215357,3.024643,3.062143,2.625375,844740400
3.1025,3.138214,3.067857,3.085,2.644971,635031600
3.076429,3.080357,3.019643,3.037143,2.603941,271334000
3.094286,3.122143,3.044286,3.0646430000000002,2.6275180000000002,308324800
3.09,3.129286,3.038214,3.093214,2.652014,686000000
3.122143,3.144643,3.025714,3.081786,2.642216,967601600
3.070357,3.133571,3.047857,3.0482139999999998,2.613433,607541200
3.067143,3.251429,3.041429,3.241071,2.778782,746015200
3.3275,3.435,3.311071,3.377857,2.896057,1181608400
3.426786,3.470357,3.299643,3.322143,2.848289,1289310400
3.278929,3.303571,3.2235709999999997,3.250357,2.786743,753048800
3.229643,3.3267860000000002,3.2157139999999997,3.310714,2.838491,673500800
3.328929,3.335,3.219286,3.235,2.773576,546845600
3.230714,3.249643,3.126786,3.166429,2.714786,617716400
3.1514290000000003,3.205,3.083929,3.1325,2.685696,798397600
3.08,3.116071,3.025714,3.0475,2.61282,1021664000
2.8775,3.004286,2.8589290000000003,2.9778569999999998,2.553111,1831634000
3.010714,3.0135709999999998,2.871429,2.940357,2.5209599999999996,1047625600
2.926071,2.928571,2.792857,2.792857,2.394498,919914800
2.835357,2.96,2.8325,2.958214,2.53627,1089270000
3.144286,3.214286,3.065,3.155714,2.7056,1409528400
3.100714,3.2096430000000002,3.089286,3.155714,2.7056,763770000
3.173571,3.248929,3.153571,3.201429,2.7447939999999997,692238400
3.221071,3.269643,3.205,3.240357,2.7781689999999997,618038400
3.29,3.392857,3.267857,3.364286,2.884421,861406000
3.324643,3.3692860000000002,3.307143,3.321429,2.8476779999999997,592729200
3.307143,3.343571,3.214643,3.218929,2.7597970000000003,651478800
3.182143,3.285714,3.175,3.268214,2.802053,558247200
3.282857,3.335,3.224286,3.3207139999999997,2.847065,599309200
3.329286,3.4375,3.325,3.341071,2.864518,808421600
3.313214,3.473214,3.307857,3.445,2.953622,749246400
3.465,3.571429,3.464286,3.561429,3.053445,687209600
3.571429,3.678571,3.553571,3.6610709999999997,3.138874,715010800
3.618929,3.6610709999999997,3.466429,3.493929,2.995573,849060800
3.441786,3.511071,3.420357,3.457857,2.964646,674973600
3.4225,3.5625,3.4225,3.545357,3.0396650000000003,817188400
3.535357,3.569286,3.504286,3.541429,3.0362970000000002,608977600
3.4596430000000002,3.4657139999999997,3.367143,3.376071,2.894525,678238400
3.394643,3.4232139999999998,3.311429,3.370357,2.889626,684779200
3.3346430000000002,3.366071,3.218214,3.237143,2.775414,922804400
3.192857,3.3,3.178571,3.257143,2.792561,750316000
3.273214,3.285714,3.089643,3.105357,2.662425,786982000
3.123214,3.2460709999999997,3.107143,3.223214,2.763471,807105600
3.209286,3.318571,3.1875,3.2557139999999998,2.7913349999999997,833053200
3.285714,3.318571,3.177143,3.1853569999999998,2.731014,629868400
