Date,Open,High,Low,Close,Adj Close,Volume
2008-04-10,206.000000,210.000000,201.225006,207.487503,167.057404,1085340
2008-04-11,210.000000,211.225006,203.262497,205.787506,165.688660,507472
2008-04-15,202.625000,216.175003,201.512497,214.962494,173.075867,1016696
2008-04-16,216.250000,232.425003,216.250000,228.337494,183.844666,1196568
2008-04-17,232.500000,237.500000,230.125000,232.887497,187.508102,837236
2008-04-21,234.500000,237.449997,218.250000,220.037506,177.162033,763988
2008-04-22,214.037506,218.800003,210.000000,211.524994,170.308182,474596
2008-04-23,210.000000,219.225006,207.537506,208.675003,168.013489,608776
2008-04-24,212.250000,213.750000,199.024994,201.149994,161.954803,617860
2008-04-25,203.875000,206.000000,200.500000,203.137497,163.555023,372556
2008-04-28,212.250000,214.899994,201.750000,203.487503,163.836823,615292
2008-04-29,205.250000,227.475006,201.250000,225.662506,181.690948,1957628
2008-04-30,228.750000,234.949997,221.012497,228.399994,183.894974,2023212
2008-05-02,232.250000,242.250000,230.250000,237.712494,191.392899,1476944
2008-05-05,240.250000,240.250000,228.812500,229.762497,184.992020,667468
2008-05-06,213.199997,239.250000,212.487503,235.600006,189.692001,1523844
2008-05-07,237.500000,244.949997,228.100006,238.287506,191.855865,2049704
2008-05-08,235.012497,240.024994,231.250000,233.562500,188.051575,1053268
2008-05-09,232.500000,236.750000,221.250000,224.112503,180.442947,790652
2008-05-12,222.500000,234.762497,213.162506,230.312500,185.434814,1211628
2008-05-13,231.262497,237.000000,222.500000,225.787506,181.791550,1003968
2008-05-14,225.000000,236.000000,222.750000,233.175003,187.739578,1049456
2008-05-15,236.250000,240.725006,231.837494,233.225006,187.779846,1237616
2008-05-16,246.149994,246.149994,237.750000,239.175003,192.570404,1700432
2008-05-20,222.500000,233.250000,222.500000,226.574997,182.425613,2403504
2008-05-21,223.750000,226.250000,216.250000,217.112503,174.806931,1728044
2008-05-22,216.750000,223.000000,209.274994,210.524994,169.503021,1531040
2008-05-23,210.524994,215.699997,205.699997,207.324997,166.926544,1377032
2008-05-26,203.750000,208.675003,201.387497,203.774994,164.068298,1196168
2008-05-27,207.500000,208.750000,204.250000,205.524994,165.477295,578820
2008-05-28,206.274994,209.475006,204.750000,208.212494,167.641144,714280
2008-05-29,212.500000,214.750000,208.062500,209.412506,168.607300,1383048
2008-05-30,210.250000,218.750000,209.750000,216.112503,174.001785,1369604
2008-06-02,217.500000,218.750000,205.000000,207.837494,167.339218,963608
2008-06-03,206.500000,212.475006,194.250000,205.324997,165.316284,307360
2008-06-04,206.250000,208.250000,193.800003,196.762497,158.422241,520096
2008-06-05,199.699997,214.500000,196.250000,211.475006,170.267914,874016
2008-06-06,212.750000,217.000000,204.500000,205.600006,165.537704,413976
2008-06-09,200.250000,201.112503,195.000000,198.587494,159.891617,285352
2008-06-10,197.500000,198.750000,182.750000,184.824997,148.810837,641248
2008-06-11,185.500000,193.000000,183.750000,191.125000,153.883240,579872
2008-06-12,185.000000,199.737503,180.000000,194.125000,156.298645,467664
2008-06-13,197.475006,203.750000,193.375000,198.412506,159.750702,687496
2008-06-16,200.274994,203.500000,195.550003,196.987503,158.603439,257096
2008-06-17,200.000000,206.225006,195.000000,203.425003,163.786514,498772
2008-06-18,207.100006,207.100006,195.062500,197.387497,158.925430,348184
2008-06-19,195.000000,200.475006,193.750000,194.837494,156.872314,370476
2008-06-20,196.250000,198.737503,187.750000,188.687500,151.920685,369456
2008-06-23,187.512497,192.112503,184.199997,190.699997,153.541046,433048
2008-06-24,193.500000,199.500000,186.375000,189.125000,152.272964,358768
2008-06-25,187.500000,191.250000,184.037506,187.862503,151.256454,463036
2008-06-26,190.000000,190.000000,181.250000,182.412506,146.868408,604952
2008-06-27,182.500000,182.500000,175.750000,177.500000,142.913132,197200
2008-06-30,178.750000,181.250000,175.750000,178.837494,143.990005,531676
2008-07-01,180.000000,180.250000,172.500000,173.687500,139.843536,327616
2008-07-02,175.000000,178.899994,168.750000,178.074997,143.376099,234856
2008-07-03,175.625000,177.750000,170.500000,172.987503,139.279938,238952
2008-07-04,175.100006,178.000000,170.787506,176.687500,142.258942,190400
2008-07-07,176.687500,185.862503,176.687500,182.012497,146.546371,230528
2008-07-08,175.250000,180.274994,175.250000,178.274994,143.537094,114436
2008-07-09,182.225006,188.750000,180.000000,187.762497,151.175919,326444
2008-07-10,187.250000,189.975006,184.250000,187.312500,150.813644,395500
2008-07-11,191.399994,191.399994,172.500000,174.187500,140.246094,302324
2008-07-14,174.187500,175.250000,165.000000,165.712494,133.422516,355356
2008-07-15,164.324997,169.562500,160.500000,167.662506,134.992523,1261624
2008-07-16,169.000000,172.500000,160.750000,161.712494,130.201950,258344
2008-07-17,162.500000,171.850006,161.287506,164.975006,133.967789,167848
2008-07-18,166.512497,168.500000,157.062500,166.812500,135.459930,303304
2008-07-21,168.750000,171.500000,163.750000,170.199997,138.210770,443368
2008-07-22,174.750000,189.175003,174.750000,185.850006,150.919342,1264140
2008-07-23,192.475006,197.975006,186.274994,188.187500,152.817490,493012
2008-07-24,189.250000,191.725006,176.012497,176.925003,143.671768,528428
2008-07-25,177.500000,182.425003,175.100006,179.225006,145.539536,251936
2008-07-28,179.000000,182.125000,178.987503,179.574997,145.823730,125740
2008-07-29,179.574997,184.600006,177.750000,179.212494,145.529327,304072
2008-07-30,182.000000,188.750000,180.000000,187.850006,152.543396,449748
2008-07-31,190.000000,193.225006,186.274994,189.725006,154.066010,816120
2008-08-01,187.250000,192.250000,183.750000,189.062500,153.528000,363272
2008-08-04,190.000000,191.625000,187.500000,189.537506,153.913742,120604
2008-08-05,186.524994,192.237503,186.524994,189.824997,154.147232,133824
2008-08-06,193.100006,197.250000,190.524994,192.375000,156.217957,503256
2008-08-07,193.024994,196.250000,190.024994,194.175003,157.679642,152600
2008-08-08,193.750000,199.949997,193.750000,198.774994,161.415039,618648
2008-08-11,200.000000,205.675003,199.500000,200.437500,162.765060,640080
2008-08-12,202.500000,203.425003,195.250000,196.375000,159.466110,168916
2008-08-13,196.250000,199.500000,193.750000,197.112503,160.065018,217740
2008-08-14,197.500000,199.750000,190.774994,191.787506,155.740891,322288
2008-08-18,193.737503,196.250000,186.550003,187.574997,152.320099,364832
2008-08-19,185.500000,191.250000,185.500000,190.399994,154.614151,116888
2008-08-20,193.500000,196.250000,191.350006,194.312500,157.791275,323712
2008-08-21,192.250000,196.225006,190.074997,191.225006,155.284103,158240
2008-08-22,187.750000,193.500000,187.750000,191.625000,155.608902,96016
2008-08-25,191.750000,194.625000,188.250000,190.725006,154.878067,65836
2008-08-26,190.725006,198.737503,190.725006,196.412506,159.496582,245980
2008-08-27,199.937500,200.000000,193.074997,194.574997,158.004456,307740
2008-08-28,193.750000,195.975006,182.812500,184.175003,149.559128,563212
2008-08-29,189.250000,189.250000,184.250000,186.887497,151.761826,280596
2008-09-01,187.750000,187.812500,185.000000,186.425003,151.386215,123512
2008-09-02,187.500000,190.725006,182.500000,189.787506,154.116776,476940
2008-09-04,187.750000,195.250000,187.512497,193.462494,157.101059,318616
2008-09-05,192.000000,192.500000,188.500000,189.425003,153.822388,124620
2008-09-08,197.500000,200.000000,192.537506,193.550003,157.172073,253980
2008-09-09,192.500000,202.449997,190.000000,198.625000,161.293228,1182224
2008-09-10,197.500000,205.562500,197.500000,199.537506,162.034241,1088668
2008-09-11,204.725006,206.250000,193.024994,194.612503,158.034897,369124
2008-09-12,202.000000,202.000000,189.074997,189.812500,154.137054,193360
2008-09-15,185.012497,187.500000,178.750000,179.475006,145.742508,223708
2008-09-16,177.500000,177.500000,164.024994,173.062500,140.535248,254972
2008-09-17,175.000000,175.000000,165.000000,166.937500,135.561432,412808
2008-09-18,159.000000,163.750000,141.312500,158.462494,128.679321,497612
2008-09-19,166.250000,172.000000,164.000000,168.762497,137.043427,273148
2008-09-22,170.500000,172.237503,163.250000,164.050003,133.216675,103532
2008-09-23,161.250000,163.000000,157.500000,159.625000,129.623352,108480
2008-09-24,166.699997,167.250000,159.750000,162.562500,132.008728,162976
2008-09-25,167.500000,167.500000,158.850006,159.987503,129.917709,251196
2008-09-26,157.500000,161.425003,155.037506,156.287506,126.913124,179304
2008-09-29,150.337494,157.500000,150.337494,152.462494,123.807053,236452
2008-09-30,150.375000,156.350006,141.274994,154.800003,125.705177,544240
2008-10-01,156.250000,159.850006,155.512497,158.737503,128.902649,292668
2008-10-03,157.449997,157.500000,153.012497,155.937500,126.628906,166368
2008-10-06,153.750000,153.750000,142.774994,144.487503,117.330940,439604
2008-10-07,145.750000,149.699997,126.275002,127.912498,103.871231,492420
2008-10-08,120.275002,124.987503,113.525002,116.125000,94.299194,295780
2008-10-10,112.449997,112.449997,96.875000,99.000000,80.392845,323408
2008-10-13,100.000000,107.250000,100.000000,105.900002,85.996002,176500
2008-10-14,115.574997,122.250000,108.750000,108.800003,88.350929,265556
2008-10-15,105.275002,105.625000,95.000000,96.150002,78.078514,309140
2008-10-16,92.500000,93.949997,86.000000,90.562500,73.541199,301628
2008-10-17,98.449997,98.449997,83.337502,85.875000,69.734703,325300
2008-10-20,86.500000,95.250000,86.500000,91.875000,74.607010,241680
2008-10-21,98.724998,104.687500,93.250000,103.324997,83.904968,351052
